word,ko,category,ipa,pron_ko,example,example_ko,notes
bailar,춤추다,tango_step,bai-LAR,바일라르,¿Bailamos esta tanda?,이 탄다 출까?,동사 원형
abrazo,포옹/아브라소,embrace,a-BRA-so,아브라소,Tu abrazo es cómodo,당신 아브라소 편해요,탱고 핵심 자세
hola,안녕,self_intro,O-la,올라,Hola amiga,안녕 친구,가장 기본 인사
gracias,고마워,self_intro,GRA-sias,그라시아스,Gracias por la tanda,탄다 고마워,감사 인사
trabajo,일/직장,work,tra-BA-ho,트라바호,Voy al trabajo,일하러 가요,명사
familia,가족,family,fa-MI-lia,파밀리아,Mi familia es grande,우리 가족 커요,
desayuno,아침식사,morning,de-sa-YU-no,데사유노,Desayuno café,아침에 커피 마셔요,
viaje,여행,travel,BIA-he,비아헤,Hago un viaje,여행 가요,
feliz,행복한,happy,fe-LIS,펠리스,Soy muy feliz,저 정말 행복해요,형용사
problema,문제,problem,pro-BLE-ma,프로블레마,Tengo un problema,문제 있어요,
